FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1848528|Flat Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848529|Flood Geyser|Spring|WY|56|Teton|039|443145N|1104943W|44.5290999|-110.8285444|||||2235|7333|Lower Geyser Basin|08/24/1999|04/07/2009
1848530|Gentian Pool|Spring|WY|56|Teton|039|443317N|1104835W|44.5546559|-110.8096553|||||2210|7251|Lower Geyser Basin|08/24/1999|
1848531|Glen Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848532|Goggles Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848533|Gourd Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848534|Gray Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848535|Green Dragon Spring|Spring|WY|56|Park|029|Unknown|Unknown|0|0|||||2578|8458|Unknown|08/24/1999|
1848536|Horseshoe Spring|Spring|WY|56|Park|029|444501N|1104302W|44.7502127|-110.7171535|||||2287|7503|Obsidian Cliff|08/24/1999|06/01/2011
1848537|Hygeia Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
1848538|Impenetrable Spring|Spring|WY|56|Teton|039|Unknown|Unknown|0|0|||||2268|7441|Unknown|08/24/1999|
